\hline
stabilility&abundance&rho&pval&qval\\
\hline
pabinostat 1&KIDNEY abundance&3.98e-01&2.79e-91&4.47e-90\\
pabinostat 2&KIDNEY abundance&4.22e-01&1.71e-97&5.47e-96\\
vehicle 1&KIDNEY abundance&4.04e-01&6.74e-88&4.31e-87\\
vehicle 2&KIDNEY abundance&4.13e-01&4.54e-89&4.84e-88\\
pabinostat 1&LIVER abundance&3.11e-01&5.03e-71&5.96e-71\\
pabinostat 2&LIVER abundance&3.30e-01&1.86e-74&2.59e-74\\
vehicle 1&LIVER abundance&3.25e-01&3.41e-71&4.20e-71\\
vehicle 2&LIVER abundance&3.31e-01&1.20e-71&1.54e-71\\
pabinostat 1&LUNG abundance&3.91e-01&4.23e-81&1.04e-80\\
pabinostat 2&LUNG abundance&4.03e-01&2.47e-81&6.58e-81\\
vehicle 1&LUNG abundance&3.93e-01&3.22e-76&4.90e-76\\
vehicle 2&LUNG abundance&3.92e-01&1.52e-73&2.03e-73\\
pabinostat 1&FEMALE GONAD abundance&3.37e-01&7.24e-83&2.32e-82\\
pabinostat 2&FEMALE GONAD abundance&3.39e-01&6.33e-78&1.13e-77\\
vehicle 1&FEMALE GONAD abundance&3.36e-01&1.27e-75&1.85e-75\\
vehicle 2&FEMALE GONAD abundance&3.28e-01&1.84e-69&2.11e-69\\
pabinostat 1&PANCREAS abundance&3.54e-01&8.65e-86&3.96e-85\\
pabinostat 2&PANCREAS abundance&3.65e-01&2.00e-85&7.12e-85\\
vehicle 1&PANCREAS abundance&3.58e-01&6.60e-81&1.51e-80\\
vehicle 2&PANCREAS abundance&3.58e-01&1.60e-78&3.01e-78\\
pabinostat 1&PROSTATE GLAND abundance&3.67e-01&2.27e-88&1.82e-87\\
pabinostat 2&PROSTATE GLAND abundance&3.73e-01&1.44e-85&5.74e-85\\
vehicle 1&PROSTATE GLAND abundance&3.59e-01&8.72e-78&1.47e-77\\
vehicle 2&PROSTATE GLAND abundance&3.62e-01&8.20e-77&1.31e-76\\
pabinostat 1&TESTIS abundance&3.41e-01&6.57e-86&3.50e-85\\
pabinostat 2&TESTIS abundance&3.46e-01&5.17e-82&1.50e-81\\
vehicle 1&TESTIS abundance&3.44e-01&7.00e-80&1.49e-79\\
vehicle 2&TESTIS abundance&3.47e-01&4.85e-79&9.69e-79\\
pabinostat 1&UTERUS abundance&3.53e-01&2.62e-60&2.89e-60\\
pabinostat 2&UTERUS abundance&3.32e-01&2.63e-50&2.80e-50\\
vehicle 1&UTERUS abundance&3.23e-01&3.76e-47&3.88e-47\\
vehicle 2&UTERUS abundance&3.09e-01&3.54e-42&3.54e-42\\
\hline
